Horário,Esporte,Liga,Jogo
19:00,Outro,Boxing,George Liddard x Tyler Denny
19:00,Outro,NCAA Lacrosse,Vermont Catamounts x Bryant Bulldogs
19:00,Outro,Boxing,Carlos Castro x Damian Alcala
19:05,Outro,NCAA Baseball,UC Santa Barbara Gauchos x Hawai'i Rainbow Warriors
19:10,Outro,NCAAB,Houston Cougars x Texas A&M Aggies
19:15,Outro,MMA,Michael Aswell x Luke Riley
19:30,Outro,Boxing,Jordan Orozco x Daniel Olea
19:30,Outro,Boxing,Corey Marksman x Jaycob Gomez
19:30,Outro,Boxing,Antraveous Ingram x Chris Thompson
19:45,Outro,MMA,Movsar Evloev x Lerone Murphy
20:00,Outro,NCAA Baseball,Auburn Tigers x Texas Longhorns
20:00,Outro,NCAA Baseball,Oklahoma St Cowboys x Baylor Bears
20:00,Outro,NCAA Baseball,Mississippi St Bulldogs x Vanderbilt Commodores
20:00,Outro,AHL,Milwaukee Admirals x Grand Rapids Griffins
20:00,Outro,NCAA Lacrosse,Iona Gaels x Marist Red Foxes
20:00,Outro,NCAAB,UNC Wilmington Seahawks x Dayton Flyers
20:00,Outro,AHL,Belleville Senators x Springfield Thunderbirds
20:00,Outro,WTA Miami Open,Alycia Parks x Coco Gauff
20:00,Outro,Boxing,Albert Gonzalez x Brandon Chambers
20:00,Outro,Boxing,Carlos De Leon x Damian Alcala
20:00,Outro,Boxing,Samuel Contreras x Cesar Cantu
20:00,Outro,Boxing,Charles Harris Jr x Jason Limon
20:00,Outro,Liga MX,Atlas x Querétaro
20:05,Outro,AHL,Providence Bruins x Utica Comets
20:10,Outro,NCAAB,Gonzaga Bulldogs x Texas Longhorns
20:10,Outro,NBA,Charlotte Hornets x Memphis Grizzlies
20:10,Outro,NBA,New Orleans Pelicans x Cleveland Cavaliers
20:11,Outro,NBA,Orlando Magic x Los Angeles Lakers
20:30,Outro,Boxing,Roberto Gomez x Belmar Preciado
20:50,Outro,NCAAB,Illinois Fighting Illini x VCU Rams
21:00,Outro,NCAA Baseball,CSU Fullerton Titans x CSU Northridge Matadors
21:00,Outro,AHL,Chicago Wolves x Rockford IceHogs
21:00,Outro,Boxing,Teremoana Junior x Curtis Harper
21:10,Outro,NBA,Atlanta Hawks x Golden State Warriors
21:10,Outro,NBA,San Antonio Spurs x Indiana Pacers
21:11,Outro,NBA,Houston Rockets x Miami Heat
21:45,Outro,NBA,Dallas Mavericks x Los Angeles Clippers
21:45,Outro,NCAAB,Nebraska Cornhuskers x Vanderbilt Commodores
22:00,Outro,Liga MX,Atlético San Luis x León
22:00,Outro,Boxing,Anthony Cuba x Jair Valtierra
22:00,Outro,NCAA Baseball,Arizona Wildcats x Texas Tech Red Raiders
22:00,Outro,NCAAB,Nevada Wolf Pack x Liberty Flames
22:05,Outro,MLB Preseason,Cincinnati Reds x Chicago White Sox
22:05,Outro,Liga MX,Monterrey x Guadalajara
22:10,Outro,MLB Preseason,Seattle Mariners x Chicago Cubs
22:40,Outro,NBA,Utah Jazz x Philadelphia 76ers
22:45,Outro,NCAAB,Arkansas Razorbacks x High Point Panthers
23:00,Outro,Boxing,Joshua Kevin Anton x Kudratillo Abdukakhorov
23:00,Outro,Boxing,Omari Jones x Christian Gomez
23:00,Outro,AHL,Bakersfield Condors x Calgary Wranglers
23:00,Outro,NCAA Baseball,USC Trojans x Washington Huskies
23:11,Outro,NBA,Phoenix Suns x Milwaukee Bucks
23:30,Outro,Boxing,Lester Martinez x Immanuwel Aleem
